"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"CRISP3";2551,72507951884;5,38219290034502;0,514639012732529;2,32667464868931e-28;4,49209461875658e-26
"TDRD1";1511,38213255442;4,15791068279615;0,390761144960042;4,60128291439234e-28;8,5452396981572e-26
"DLX1";398,458913686366;3,95480631243155;0,398474865230963;9,9892544084097e-25;9,9892544084097e-23
"ERG";4501,07942033517;3,48432296299357;0,256391763373748;3,03226682593142e-43;4,92743359213856e-40
"ADAM7";76,5156933985026;3,45983860224084;0,64718359589007;1,71421015174318e-11;2,21812196144605e-10
"RPL17-C18orf32";395,138469520162;3,45380385277691;1,06104657452793;9,2351202449786e-09;7,78240470082466e-08
"ADAM2";113,447154511664;3,41670346530373;0,565642356327882;5,64433848897589e-12;7,87300433011658e-11
"ATOH1";47,2976279527723;3,31455841225089;0,749859842541761;5,21690696630699e-09;4,57623418097104e-08
"UGT1A3";22,685263558878;3,25686714347666;0,693519192806634;0,00200784146536416;0,00633849904073192
"MMP26";84,3575711382693;3,0745997660267;0,373993591936104;3,60927406229459e-18;1,21766166461496e-16
"OR51F1";88,8004068528364;3,05243093399921;0,327248899717839;4,66638885937438e-22;2,95436957005846e-20
"OR51C1P";1093,50020715256;3,02304107931458;0,285130156868309;8,8418001280029e-28;1,53942055800051e-25
"FXYD6-FXYD2";4,53268206121252;-2,96623399745837;0,726662958770091;7,56898475270206e-08;5,58226939023034e-07
"OR51E2";7469,4456824808;2,91278423727323;0,24313185710142;9,75303382859826e-35;5,76315635326261e-32
"ACSM1";1079,52273233399;2,90922699297144;0,235079540097253;1,78467317870407e-37;1,45004695769706e-34
"AMACR";6536,26105135964;2,88524500573718;0,289922163329801;1,84045013904435e-24;1,74217367530898e-22
"ZIC5";51,3895618377205;2,83047212891943;0,591988536293038;1,69056065930779e-10;1,86888844527861e-09
"ALDH3B2";440,034814152973;2,77436201213131;0,25774325275765;1,90434261408913e-28;3,78925316068755e-26
"OR51S1";150,191689662554;2,74197967316022;0,326855247834296;1,84703567089832e-18;6,58449645018597e-17
"AC093525.2";59,8978127271563;2,73978511556949;1,3383621365176;0,000889888129002619;0,00306695272455834
"NKAIN1";370,350432163966;2,73437503585857;0,262271785096893;7,22900403594975e-27;1,02894582993445e-24
"NKX2-1";59,8327315183471;2,72509475532811;0,799305876870804;4,1475407111941e-07;2,71362078182075e-06
"OR51G1";55,3808945847731;2,71957439432175;0,317711299784476;5,88276079346482e-19;2,25814636757016e-17
"LUZP2";1357,18028966814;2,70138561482459;0,160651967402274;3,13952648168889e-64;6,12207663929333e-60
"AGR3";95,3289178862121;2,66309860215048;0,420280289010797;1,00287640188449e-11;1,35149204124033e-10
"MS4A8";292,726572055957;2,66160588923626;0,317012352781776;3,31552220716535e-18;1,1283190757369e-16
"OR51A7";70,4535508235652;2,64987220842435;0,315131471489199;1,92989812583696e-18;6,8548294087105e-17
"OR51E1";2889,83037477364;2,63817979823249;0,322519664707914;5,38285709647821e-18;1,75821965462856e-16
"HPN";2061,36399666648;2,60927253308993;0,163744291076436;4,50128024342192e-59;2,92583215822425e-55
"DLX2";92,0548812743208;2,60909958936929;0,416981747796555;4,94717311431203e-12;6,98991907079669e-11
"SLC45A2";103,509574108256;2,59861102638043;0,47791643845462;3,44684905583387e-10;3,60394405301665e-09
"OR51F2";57,5997883775019;2,58581041376985;0,35122397456884;3,70346160994718e-15;8,34884409178844e-14
"VSTM2L";912,502933237529;2,58480148824002;0,197020395555602;2,85819462083683e-40;3,35733287975088e-37
"CST2";85,8982074195119;2,57225984491112;0,508866899469254;1,69939130527567e-08;1,37731215514861e-07
"NPY";6154,16877529257;2,56239737772499;0,395720370564967;1,81068890295924e-12;2,73921129617573e-11
"SMR3B";24,2411640068683;-2,52077645480472;1,19553387418315;0,00104419452709;0,0035504434661299
"ATP8A2";481,087852140933;2,49280846054408;0,294751230352641;2,94611468192372e-20;1,39102267064195e-18
"SLC44A5";749,363373354021;2,48979467626876;0,487178524960596;3,85590674087835e-10;3,9825307969877e-09
"ANKRD34B";318,792175006071;2,48011427005994;0,503949548059676;2,67091536875993e-08;2,1043575632654e-07
"OR52R1";84,9079494561557;2,46752807615527;0,353362573763217;1,39164039803721e-13;2,50341215514074e-12
"C1QL1";73,8527987139838;-2,46041795162289;0,368650101557084;9,35022640444611e-13;1,48235296655853e-11
"MNX1";132,152292040148;2,42726916767745;0,326719147898467;4,62240212856669e-16;1,16305601944581e-14
"PHGR1";38,95377474018;2,42230522952264;0,353847911140313;3,96032813732212e-13;6,69786632070957e-12
"SLCO1A2";339,815693694341;2,39083015260169;0,446207281593282;2,21903487542964e-10;2,40128635243496e-09
"KCNH8";583,993204675591;2,38955004915406;0,242795852672422;1,76998687402376e-24;1,68364605090065e-22
"ELAVL2";140,624849999748;2,38156098485593;0,375885153434105;4,58272740997592e-12;6,50387077835011e-11
"BMP5";463,631758725853;-2,37447786608272;0,548300221459198;5,37739472774124e-07;3,45727653118873e-06
"HOXC6";214,616882139766;2,37365853561888;0,290622679019342;9,83789827684164e-19;3,66805002673828e-17
"KCNG3";414,511539426331;2,36503607278879;0,230936491267816;1,86094388609526e-27;2,92648433700464e-25
"TDO2";233,099178688097;2,36472146976107;0,810458064624346;2,28592914575653e-05;0,000108641526547044
"GABRA2";140,284526775342;2,35166768322923;0,712311747124496;1,15508324319049e-06;6,97989564369833e-06
"GAL";28,5038980534929;2,32768577018283;0,595046702640318;1,26345350315886e-06;7,57838920688948e-06
"GLYATL1";954,320268924214;2,32219595741007;0,178652275055218;6,82587746851324e-40;7,39470059088934e-37
"PENK";273,668493710662;-2,31483593800429;0,279886051343461;1,23415214913472e-18;4,5407484732315e-17
"CHRM3";964,886340064206;2,30957328677446;0,22448516287313;1,0012294256361e-25;1,17614299999421e-23
"KLK12";139,183653257383;2,30649277744803;0,398955041021717;1,32073108242461e-10;1,49300035404521e-09
"KRTAP13-2";17,5550419422592;2,30190277342576;0,633070699197614;6,32724337729961e-07;4,00588460575787e-06
"OR51L1";87,1729225242373;2,3015507543913;0,322729397963383;2,70432889533082e-14;5,37010320355916e-13
"PATE2";47,7994614812077;2,29647350845757;0,342582177909554;9,70757052813063e-13;1,53526054581141e-11
"KRT13";631,680165896861;-2,28994042420466;0,424243786976755;7,58106118022779e-10;7,51172220601838e-09
"SERPINA11";64,8197065706345;2,2693745513833;0,517924963797263;3,28357852453678e-07;2,18680946818536e-06
"OR51G2";137,862591053126;2,26428106475034;0,305425789456525;4,42268531247532e-15;9,85627012494501e-14
"GJB1";851,585888361656;2,25693543203687;0,177138482564813;1,66204651100168e-38;1,70578457708067e-35
"CPNE7";227,070037250417;2,25536472466371;0,273017565146545;7,32536764702065e-18;2,34556106924306e-16
"MYH6";221,456409143725;-2,24057737632486;0,595019027051219;1,13089146725317e-08;9,40801348610789e-08
"ACTC1";505,398688944834;-2,2240663072975;0,366481929293149;4,09113879058845e-11;5,03008867695301e-10
"ZNF560";38,0141282038197;2,20896182669736;0,827607469420736;0,00011310802496098;0,000471888422494462
"NELL2";735,795042821161;-2,20058708254662;0,289897945948982;1,57452278224047e-15;3,70364225014345e-14
"OR51D1";92,73436332083;2,20054470353036;0,404667039731271;1,45840455204705e-09;1,40508343700185e-08
"POPDC3";50,4336848021895;2,18465424133337;0,385433678831484;6,92186550107154e-10;6,89358413028064e-09
"PRAME";49,6310582164379;2,17390488383097;1,09194532835063;2,08582785134312e-05;9,97147416062534e-05
"DDC";107,223618146642;2,15900307143211;0,649177061741362;8,02134132834163e-05;0,000345137148946738
"B3GNT6";245,002621972163;2,15412921758287;0,488491886418382;3,5687148820872e-08;2,75385596362091e-07
"CXCL14";918,425385300815;2,14654409006017;0,258709925988395;2,23376562341176e-18;7,8625324289764e-17
"THBS4";1497,75685834545;2,13178389323176;0,182559948350505;3,44772498283114e-32;1,26850258802278e-29
"SIM2";2377,01699176048;2,12979658926347;0,200568413716343;7,681452291573e-28;1,36171199714249e-25
"PLA2G7";1465,28634769555;2,11165009844049;0,192724974824212;4,43769814631841e-29;1,00622225410708e-26
"SMIM22";288,912958329224;2,1112489753532;0,207694263397098;9,36529139143388e-26;1,11859953838534e-23
"PTPRT";1002,95610446348;2,10735979409168;0,292506077491664;3,28113370853002e-14;6,44980920527574e-13
"OR51T1";49,7704354474372;2,09452484723405;0,388664204837035;1,03817633856292e-09;1,01577715012428e-08
"C15orf48";356,364124879266;2,09121362241771;0,378088327075068;1,14819645119756e-09;1,11893207388068e-08
"F5";2098,39057199031;2,09052093737207;0,260305190922374;1,26308248092527e-19;5,36603668366943e-18
"FOXD1";103,219180104988;2,05934042412922;0,380205244642485;1,05742286746465e-09;1,03350478813732e-08
"CACNA1D";7753,75907337692;2,04488126911261;0,186766492085031;3,10679741982862e-29;7,12735878666565e-27
"NWD2";82,9847259511189;2,03728747669674;0,912646600006557;8,8787751950082e-06;4,57306170899789e-05
"CCK";251,249393072702;-2,02560711445022;0,410364647440819;4,64443883045918e-09;4,11853375143038e-08
"CXCL13";129,378624765332;-2,01832509662411;0,530340490453263;2,53461741846081e-06;1,44686884250544e-05
"ACRV1";19,9881354318265;2,01314173712578;0,601135582687471;2,31365269118575e-05;0,000109745141031676
"DIRAS2";73,4684163721902;2,01298279614409;0,559798358776044;1,46645483621412e-06;8,68075958090656e-06
"ALOX15";120,109276780015;2,00667277383249;0,450311374961114;7,21283467486636e-08;5,3418259080856e-07
"COL9A2";2204,64816667767;2,00529523532927;0,169360429442563;7,19694219828403e-34;3,3414374492033e-31
"AC009070.1";92,135654521409;2,00416180668715;0,647456723109268;3,87680309694602e-05;0,000176836632492275
"SCGB3A1";75,4572906135856;-2,00333780705904;0,415024255104951;6,76834506358243e-08;5,03366623721805e-07
"GRPR";71,102041645021;1,99465675913879;0,453738752541805;4,99938644915054e-07;3,23129054552322e-06
"SDK1";1901,74881417836;1,97324947096013;0,193750189452114;2,86553730583726e-27;4,3998407451832e-25
"ZIC2";53,8913453904705;1,97269153300798;0,580435379058087;3,88841284702863e-06;2,14373905900646e-05
"WIF1";207,675774969048;-1,96638404463356;0,309968972383388;7,6149003636211e-12;1,04139040284473e-10
"PATE1";60,571998780622;1,96389935180049;0,432506172230462;2,30709166616606e-07;1,57522015021843e-06
"C1orf53";28,2679552386712;1,9633173234921;0,488690160702035;9,01816395913164e-07;5,57382558488327e-06
"SULT4A1";52,9011223272497;1,96060117139678;0,590686681065838;6,30214908737129e-07;3,99388713694313e-06
"TMSB15A";270,731813575451;1,95719379435518;0,42552259131171;8,74656185681873e-08;6,38793843475525e-07
"FFAR2";179,466610258643;1,95289039977685;0,219207595177871;2,02862225114281e-20;9,93922962243335e-19
"ONECUT2";448,454492683884;1,94904923112662;0,229141637929944;3,72692280629962e-19;1,46818171157258e-17
"INSM1";91,3970702856658;1,94841808406029;0,332351411228661;2,19353416195562e-11;2,79203108081818e-10
"RNF112";326,809822679999;-1,93686272278491;0,206356666526758;1,77442124917914e-22;1,19727385325236e-20
"ADARB2";369,896000270321;1,93301213152017;0,297131951158661;3,43664578703593e-13;5,88363413935037e-12
"FOXB2";22,707871902628;1,92345303005696;0,607326061019164;9,21842233440478e-06;4,73798723038727e-05
"NKX2-2";46,2707348827884;1,92037109036541;0,775166353286991;0,00037895755571363;0,0014202714465531
"PLA1A";910,056792157722;1,91578936288923;0,218009717509295;3,33311503035075e-20;1,56616248414072e-18
"DACH2";75,7687231683466;-1,91325450005198;0,370988786035921;3,59434950674519e-10;3,73812348701499e-09
"RAB17";658,28759139696;1,90715039542938;0,157736750491861;1,42472899808538e-34;7,9377758464757e-32
"TUBB4A";89,4262194275716;1,90434047931512;0,409580241330377;1,67076606943005e-07;1,16523384670551e-06
"ROS1";61,7956362889143;1,895335105101;0,807296994299472;0,000225668364944368;0,00088953570172128
"KRT14";593,451270516856;-1,89003773218175;0,211560347074581;5,61270606604769e-21;3,04021578577583e-19
"SMOC1";1411,28451354553;-1,88741372916876;0,154742914505516;7,21200913057567e-36;4,68780593487418e-33
"CGREF1";341,072892689549;1,88322930957225;0,171722918373927;2,9160407931834e-29;6,76938041274717e-27
"MLC1";141,957686773028;-1,87941765212718;0,373741841177583;5,41535947532656e-09;4,7332814777619e-08
"TBX4";275,004959771507;-1,87577386650976;0,380831886553747;3,81682239033703e-08;2,9313917531143e-07
"EDN3";201,268629232806;-1,87572810040594;0,199899435254213;2,58771312635039e-22;1,70474344472407e-20
"LRRC24";57,1747777243704;-1,87285828172979;0,275302828759767;6,64267961760052e-13;1,07853665731232e-11
"SYNJ2BP-COX16";7,97519061421564;1,87220156258327;0,424937816122275;4,19046678930428e-08;3,1994558493122e-07
"SCGB1A1";255,333773786984;-1,86681263423291;0,390242000631685;8,80731757693758e-08;6,42749598616328e-07
"ORM2";449,554873242179;-1,86575827292417;0,560680381537092;2,44771703117973e-05;0,000115374624384831
"NEK5";517,046253312292;1,8617916172036;0,156611204622704;7,1294401799876e-34;3,3414374492033e-31
"TECTB";71,6487786592352;1,85890714095847;0,449179270723724;1,21461020051979e-06;7,30789846039366e-06
"STAC";336,137562772145;-1,85669581218909;0,218273587930149;8,36027140175414e-19;3,14720641571826e-17
"ANKRD66";32,1541628811251;1,85645874438645;0,626092140259044;4,46148283539339e-05;0,000201246623386933
"TPO";359,827155438557;1,85029990713262;0,26236554315482;4,0608563949591e-14;7,89498501512486e-13
"PNMT";43,8756437476932;-1,85021247964098;0,409210851107507;1,92646375478312e-07;1,33212919213726e-06
"UGT2B4";104,8377008042;1,84632197549413;0,784763463236972;1,6270925996048e-06;9,56536198139691e-06
"B3GAT1";1250,03314806296;1,84562431554357;0,155020431520783;5,45941063642936e-34;2,80153966869401e-31
"HOXC4";125,188403388725;1,84341539638714;0,323350058517121;4,95363528961565e-10;5,03890913654174e-09
"SSTR1";266,60465981081;1,83359208286872;0,265447642093412;2,30006231198536e-13;4,04794359961323e-12
"SLC38A11";1548,17148398808;1,82020726124621;0,212846942015031;8,29455593591541e-20;3,66766078798981e-18
"TMEM178A";542,915365347592;1,81750987791133;0,213851608668176;1,41975816733998e-18;5,16516497446447e-17
"DNAH5";2821,66475394285;1,81464513803934;0,232748077404144;5,01099816003502e-16;1,24954557699083e-14
"HOXD13";341,006385462658;-1,81072940711838;0,225455779932365;4,7265073831438e-17;1,35142073271707e-15
"EN2";37,0469852025503;1,80975182907433;0,606047272240511;2,86883343666676e-05;0,000133673242568702
"ANKRD30B";62,0878239530701;1,80478269317154;0,474279560492985;4,35389475155358e-06;2,37684623895002e-05
"SAMD5";1010,15270405463;1,79976435401421;0,183028952786979;4,69374060706063e-24;4,14153582975938e-22
"AC069368.1";28,2874863640528;-1,79783242114935;0,392415000526958;1,09267610405671e-07;7,83352354011245e-07
"SLIT1";413,661113083445;1,78833201957191;0,3160383217404;4,84299055038885e-11;5,88400721075281e-10
"CLDN8";720,601855561785;1,78654964768804;0,154625281307296;4,70469037561625e-32;1,66802658771849e-29
"IGFN1";1410,60440543433;1,7849016658166;0,207073935523314;1,86196801967438e-19;7,61181894835438e-18
"DNAH8";1052,92134640215;1,78376417218424;0,264655862132512;4,41959060785038e-13;7,38492003882454e-12
"FOXJ1";138,880016537941;1,78314604251433;0,3726647656058;6,40696185242582e-08;4,77948569710419e-07
"OR51A4";114,512043941235;1,78247837138199;0,312382797053356;5,12320981235047e-10;5,20325996566844e-09
"VSTM2A";251,628348296922;-1,77724760120599;0,594764938069866;1,8855031729539e-05;9,09406675058152e-05
"DPT";678,66416918717;-1,77382693449086;0,199183311153506;7,19265116521164e-21;3,83215021097342e-19
"DAZ4";17,5074391028868;1,77002854182205;0,463445260338644;4,9649848939878e-06;2,67724471283944e-05
